images,category
Chess_Data\case_vide\square_60.png,--
Chess_Data\case_vide\square_61.png,--
Chess_Data\case_vide\square_62.png,--
Chess_Data\case_vide\square_63.png,--
Chess_Data\cavalier_blanc\square_00.png,WN
Chess_Data\cavalier_blanc\square_01.png,WN
Chess_Data\cavalier_blanc\square_02.png,WN
Chess_Data\cavalier_blanc\square_03.png,WN
Chess_Data\cavalier_blanc\square_04.png,WN
Chess_Data\cavalier_blanc\square_05.png,WN
Chess_Data\cavalier_blanc\square_06.png,WN
Chess_Data\cavalier_blanc\square_07.png,WN
Chess_Data\cavalier_blanc\square_08.png,WN
Chess_Data\cavalier_blanc\square_09.png,WN
Chess_Data\cavalier_blanc\square_10.png,WN
Chess_Data\cavalier_blanc\square_11.png,WN
Chess_Data\cavalier_blanc\square_12.png,WN
Chess_Data\cavalier_blanc\square_13.png,WN
Chess_Data\cavalier_blanc\square_14.png,WN
Chess_Data\cavalier_blanc\square_15.png,WN
Chess_Data\cavalier_blanc\square_16.png,WN
Chess_Data\cavalier_blanc\square_17.png,WN
Chess_Data\cavalier_blanc\square_18.png,WN
Chess_Data\cavalier_blanc\square_19.png,WN
Chess_Data\cavalier_blanc\square_20.png,WN
Chess_Data\cavalier_blanc\square_21.png,WN
Chess_Data\cavalier_blanc\square_22.png,WN
Chess_Data\cavalier_blanc\square_23.png,WN
Chess_Data\cavalier_blanc\square_24.png,WN
Chess_Data\cavalier_blanc\square_25.png,WN
Chess_Data\cavalier_blanc\square_26.png,WN
Chess_Data\cavalier_blanc\square_27.png,WN
Chess_Data\cavalier_blanc\square_28.png,WN
Chess_Data\cavalier_blanc\square_29.png,WN
Chess_Data\cavalier_blanc\square_30.png,WN
Chess_Data\cavalier_blanc\square_31.png,WN
Chess_Data\cavalier_blanc\square_32.png,WN
Chess_Data\cavalier_blanc\square_33.png,WN
Chess_Data\cavalier_blanc\square_34.png,WN
Chess_Data\cavalier_blanc\square_35.png,WN
Chess_Data\cavalier_blanc\square_36.png,WN
Chess_Data\cavalier_blanc\square_37.png,WN
Chess_Data\cavalier_blanc\square_38.png,WN
Chess_Data\cavalier_blanc\square_39.png,WN
Chess_Data\cavalier_blanc\square_40.png,WN
Chess_Data\cavalier_blanc\square_41.png,WN
Chess_Data\cavalier_blanc\square_42.png,WN
Chess_Data\cavalier_blanc\square_43.png,WN
Chess_Data\cavalier_blanc\square_44.png,WN
Chess_Data\cavalier_blanc\square_45.png,WN
Chess_Data\cavalier_blanc\square_46.png,WN
Chess_Data\cavalier_blanc\square_47.png,WN
Chess_Data\cavalier_blanc\square_48.png,WN
Chess_Data\cavalier_blanc\square_49.png,WN
Chess_Data\cavalier_blanc\square_50.png,WN
Chess_Data\cavalier_blanc\square_51.png,WN
Chess_Data\cavalier_blanc\square_52.png,WN
Chess_Data\cavalier_blanc\square_53.png,WN
Chess_Data\cavalier_blanc\square_54.png,WN
Chess_Data\cavalier_blanc\square_55.png,WN
Chess_Data\cavalier_blanc\square_56.png,WN
Chess_Data\cavalier_blanc\square_57.png,WN
Chess_Data\cavalier_blanc\square_58.png,WN
Chess_Data\cavalier_blanc\square_59.png,WN
Chess_Data\cavalier_blanc\square_60.png,WN
Chess_Data\cavalier_blanc\square_61.png,WN
Chess_Data\cavalier_blanc\square_62.png,WN
Chess_Data\cavalier_blanc\square_63.png,WN
Chess_Data\cavalier_noir\square_00.png,BN
Chess_Data\cavalier_noir\square_01.png,BN
Chess_Data\cavalier_noir\square_02.png,BN
Chess_Data\cavalier_noir\square_03.png,BN
Chess_Data\cavalier_noir\square_04.png,BN
Chess_Data\cavalier_noir\square_05.png,BN
Chess_Data\cavalier_noir\square_06.png,BN
Chess_Data\cavalier_noir\square_07.png,BN
Chess_Data\cavalier_noir\square_08.png,BN
Chess_Data\cavalier_noir\square_09.png,BN
Chess_Data\cavalier_noir\square_10.png,BN
Chess_Data\cavalier_noir\square_11.png,BN
Chess_Data\cavalier_noir\square_12.png,BN
Chess_Data\cavalier_noir\square_13.png,BN
Chess_Data\cavalier_noir\square_14.png,BN
Chess_Data\cavalier_noir\square_15.png,BN
Chess_Data\cavalier_noir\square_16.png,BN
Chess_Data\cavalier_noir\square_17.png,BN
Chess_Data\cavalier_noir\square_18.png,BN
Chess_Data\cavalier_noir\square_19.png,BN
Chess_Data\cavalier_noir\square_20.png,BN
Chess_Data\cavalier_noir\square_21.png,BN
Chess_Data\cavalier_noir\square_22.png,BN
Chess_Data\cavalier_noir\square_23.png,BN
Chess_Data\cavalier_noir\square_24.png,BN
Chess_Data\cavalier_noir\square_25.png,BN
Chess_Data\cavalier_noir\square_26.png,BN
Chess_Data\cavalier_noir\square_27.png,BN
Chess_Data\cavalier_noir\square_28.png,BN
Chess_Data\cavalier_noir\square_29.png,BN
Chess_Data\cavalier_noir\square_30.png,BN
Chess_Data\cavalier_noir\square_31.png,BN
Chess_Data\cavalier_noir\square_32.png,BN
Chess_Data\cavalier_noir\square_33.png,BN
Chess_Data\cavalier_noir\square_34.png,BN
Chess_Data\cavalier_noir\square_35.png,BN
Chess_Data\cavalier_noir\square_36.png,BN
Chess_Data\cavalier_noir\square_37.png,BN
Chess_Data\cavalier_noir\square_38.png,BN
Chess_Data\cavalier_noir\square_39.png,BN
Chess_Data\cavalier_noir\square_40.png,BN
Chess_Data\cavalier_noir\square_41.png,BN
Chess_Data\cavalier_noir\square_42.png,BN
Chess_Data\cavalier_noir\square_43.png,BN
Chess_Data\cavalier_noir\square_44.png,BN
Chess_Data\cavalier_noir\square_45.png,BN
Chess_Data\cavalier_noir\square_46.png,BN
Chess_Data\cavalier_noir\square_47.png,BN
Chess_Data\cavalier_noir\square_48.png,BN
Chess_Data\cavalier_noir\square_49.png,BN
Chess_Data\cavalier_noir\square_50.png,BN
Chess_Data\cavalier_noir\square_51.png,BN
Chess_Data\cavalier_noir\square_52.png,BN
Chess_Data\cavalier_noir\square_53.png,BN
Chess_Data\cavalier_noir\square_54.png,BN
Chess_Data\cavalier_noir\square_55.png,BN
Chess_Data\cavalier_noir\square_56.png,BN
Chess_Data\cavalier_noir\square_57.png,BN
Chess_Data\cavalier_noir\square_58.png,BN
Chess_Data\cavalier_noir\square_59.png,BN
Chess_Data\cavalier_noir\square_60.png,BN
Chess_Data\cavalier_noir\square_61.png,BN
Chess_Data\cavalier_noir\square_62.png,BN
Chess_Data\cavalier_noir\square_63.png,BN
Chess_Data\dame_blanc\square_00.png,WQ
Chess_Data\dame_blanc\square_01.png,WQ
Chess_Data\dame_blanc\square_02.png,WQ
Chess_Data\dame_blanc\square_03.png,WQ
Chess_Data\dame_blanc\square_04.png,WQ
Chess_Data\dame_blanc\square_05.png,WQ
Chess_Data\dame_blanc\square_06.png,WQ
Chess_Data\dame_blanc\square_07.png,WQ
Chess_Data\dame_blanc\square_08.png,WQ
Chess_Data\dame_blanc\square_09.png,WQ
Chess_Data\dame_blanc\square_10.png,WQ
Chess_Data\dame_blanc\square_11.png,WQ
Chess_Data\dame_blanc\square_12.png,WQ
Chess_Data\dame_blanc\square_13.png,WQ
Chess_Data\dame_blanc\square_14.png,WQ
Chess_Data\dame_blanc\square_15.png,WQ
Chess_Data\dame_blanc\square_16.png,WQ
Chess_Data\dame_blanc\square_17.png,WQ
Chess_Data\dame_blanc\square_18.png,WQ
Chess_Data\dame_blanc\square_19.png,WQ
Chess_Data\dame_blanc\square_20.png,WQ
Chess_Data\dame_blanc\square_21.png,WQ
Chess_Data\dame_blanc\square_22.png,WQ
Chess_Data\dame_blanc\square_23.png,WQ
Chess_Data\dame_blanc\square_24.png,WQ
Chess_Data\dame_blanc\square_25.png,WQ
Chess_Data\dame_blanc\square_26.png,WQ
Chess_Data\dame_blanc\square_27.png,WQ
Chess_Data\dame_blanc\square_28.png,WQ
Chess_Data\dame_blanc\square_29.png,WQ
Chess_Data\dame_blanc\square_30.png,WQ
Chess_Data\dame_blanc\square_31.png,WQ
Chess_Data\dame_blanc\square_32.png,WQ
Chess_Data\dame_blanc\square_33.png,WQ
Chess_Data\dame_blanc\square_34.png,WQ
Chess_Data\dame_blanc\square_35.png,WQ
Chess_Data\dame_blanc\square_36.png,WQ
Chess_Data\dame_blanc\square_37.png,WQ
Chess_Data\dame_blanc\square_38.png,WQ
Chess_Data\dame_blanc\square_39.png,WQ
Chess_Data\dame_blanc\square_40.png,WQ
Chess_Data\dame_blanc\square_41.png,WQ
Chess_Data\dame_blanc\square_42.png,WQ
Chess_Data\dame_blanc\square_43.png,WQ
Chess_Data\dame_blanc\square_44.png,WQ
Chess_Data\dame_blanc\square_45.png,WQ
Chess_Data\dame_blanc\square_46.png,WQ
Chess_Data\dame_blanc\square_47.png,WQ
Chess_Data\dame_blanc\square_48.png,WQ
Chess_Data\dame_blanc\square_49.png,WQ
Chess_Data\dame_blanc\square_50.png,WQ
Chess_Data\dame_blanc\square_51.png,WQ
Chess_Data\dame_blanc\square_52.png,WQ
Chess_Data\dame_blanc\square_53.png,WQ
Chess_Data\dame_blanc\square_54.png,WQ
Chess_Data\dame_blanc\square_55.png,WQ
Chess_Data\dame_blanc\square_56.png,WQ
Chess_Data\dame_blanc\square_57.png,WQ
Chess_Data\dame_blanc\square_58.png,WQ
Chess_Data\dame_blanc\square_59.png,WQ
Chess_Data\dame_blanc\square_60.png,WQ
Chess_Data\dame_blanc\square_61.png,WQ
Chess_Data\dame_blanc\square_62.png,WQ
Chess_Data\dame_blanc\square_63.png,WQ
Chess_Data\dame_noir\square_00.png,BQ
Chess_Data\dame_noir\square_01.png,BQ
Chess_Data\dame_noir\square_02.png,BQ
Chess_Data\dame_noir\square_03.png,BQ
Chess_Data\dame_noir\square_04.png,BQ
Chess_Data\dame_noir\square_05.png,BQ
Chess_Data\dame_noir\square_06.png,BQ
Chess_Data\dame_noir\square_07.png,BQ
Chess_Data\dame_noir\square_08.png,BQ
Chess_Data\dame_noir\square_09.png,BQ
Chess_Data\dame_noir\square_10.png,BQ
Chess_Data\dame_noir\square_11.png,BQ
Chess_Data\dame_noir\square_12.png,BQ
Chess_Data\dame_noir\square_13.png,BQ
Chess_Data\dame_noir\square_14.png,BQ
Chess_Data\dame_noir\square_15.png,BQ
Chess_Data\dame_noir\square_16.png,BQ
Chess_Data\dame_noir\square_17.png,BQ
Chess_Data\dame_noir\square_18.png,BQ
Chess_Data\dame_noir\square_19.png,BQ
Chess_Data\dame_noir\square_20.png,BQ
Chess_Data\dame_noir\square_21.png,BQ
Chess_Data\dame_noir\square_22.png,BQ
Chess_Data\dame_noir\square_23.png,BQ
Chess_Data\dame_noir\square_24.png,BQ
Chess_Data\dame_noir\square_25.png,BQ
Chess_Data\dame_noir\square_26.png,BQ
Chess_Data\dame_noir\square_27.png,BQ
Chess_Data\dame_noir\square_28.png,BQ
Chess_Data\dame_noir\square_29.png,BQ
Chess_Data\dame_noir\square_30.png,BQ
Chess_Data\dame_noir\square_31.png,BQ
Chess_Data\dame_noir\square_32.png,BQ
Chess_Data\dame_noir\square_33.png,BQ
Chess_Data\dame_noir\square_34.png,BQ
Chess_Data\dame_noir\square_35.png,BQ
Chess_Data\dame_noir\square_36.png,BQ
Chess_Data\dame_noir\square_37.png,BQ
Chess_Data\dame_noir\square_38.png,BQ
Chess_Data\dame_noir\square_39.png,BQ
Chess_Data\dame_noir\square_40.png,BQ
Chess_Data\dame_noir\square_41.png,BQ
Chess_Data\dame_noir\square_42.png,BQ
Chess_Data\dame_noir\square_43.png,BQ
Chess_Data\dame_noir\square_44.png,BQ
Chess_Data\dame_noir\square_45.png,BQ
Chess_Data\dame_noir\square_46.png,BQ
Chess_Data\dame_noir\square_47.png,BQ
Chess_Data\dame_noir\square_48.png,BQ
Chess_Data\dame_noir\square_49.png,BQ
Chess_Data\dame_noir\square_50.png,BQ
Chess_Data\dame_noir\square_51.png,BQ
Chess_Data\dame_noir\square_52.png,BQ
Chess_Data\dame_noir\square_53.png,BQ
Chess_Data\dame_noir\square_54.png,BQ
Chess_Data\dame_noir\square_55.png,BQ
Chess_Data\dame_noir\square_56.png,BQ
Chess_Data\dame_noir\square_57.png,BQ
Chess_Data\dame_noir\square_58.png,BQ
Chess_Data\dame_noir\square_59.png,BQ
Chess_Data\dame_noir\square_60.png,BQ
Chess_Data\dame_noir\square_61.png,BQ
Chess_Data\dame_noir\square_62.png,BQ
Chess_Data\dame_noir\square_63.png,BQ
Chess_Data\fou_blanc\square_00.png,WB
Chess_Data\fou_blanc\square_01.png,WB
Chess_Data\fou_blanc\square_02.png,WB
Chess_Data\fou_blanc\square_03.png,WB
Chess_Data\fou_blanc\square_04.png,WB
Chess_Data\fou_blanc\square_05.png,WB
Chess_Data\fou_blanc\square_06.png,WB
Chess_Data\fou_blanc\square_07.png,WB
Chess_Data\fou_blanc\square_08.png,WB
Chess_Data\fou_blanc\square_09.png,WB
Chess_Data\fou_blanc\square_10.png,WB
Chess_Data\fou_blanc\square_11.png,WB
Chess_Data\fou_blanc\square_12.png,WB
Chess_Data\fou_blanc\square_13.png,WB
Chess_Data\fou_blanc\square_14.png,WB
Chess_Data\fou_blanc\square_15.png,WB
Chess_Data\fou_blanc\square_16.png,WB
Chess_Data\fou_blanc\square_17.png,WB
Chess_Data\fou_blanc\square_18.png,WB
Chess_Data\fou_blanc\square_19.png,WB
Chess_Data\fou_blanc\square_20.png,WB
Chess_Data\fou_blanc\square_21.png,WB
Chess_Data\fou_blanc\square_22.png,WB
Chess_Data\fou_blanc\square_23.png,WB
Chess_Data\fou_blanc\square_24.png,WB
Chess_Data\fou_blanc\square_25.png,WB
Chess_Data\fou_blanc\square_26.png,WB
Chess_Data\fou_blanc\square_27.png,WB
Chess_Data\fou_blanc\square_28.png,WB
Chess_Data\fou_blanc\square_29.png,WB
Chess_Data\fou_blanc\square_30.png,WB
Chess_Data\fou_blanc\square_31.png,WB
Chess_Data\fou_blanc\square_32.png,WB
Chess_Data\fou_blanc\square_33.png,WB
Chess_Data\fou_blanc\square_34.png,WB
Chess_Data\fou_blanc\square_35.png,WB
Chess_Data\fou_blanc\square_36.png,WB
Chess_Data\fou_blanc\square_37.png,WB
Chess_Data\fou_blanc\square_38.png,WB
Chess_Data\fou_blanc\square_39.png,WB
Chess_Data\fou_blanc\square_40.png,WB
Chess_Data\fou_blanc\square_41.png,WB
Chess_Data\fou_blanc\square_42.png,WB
Chess_Data\fou_blanc\square_43.png,WB
Chess_Data\fou_blanc\square_44.png,WB
Chess_Data\fou_blanc\square_45.png,WB
Chess_Data\fou_blanc\square_46.png,WB
Chess_Data\fou_blanc\square_47.png,WB
Chess_Data\fou_blanc\square_48.png,WB
Chess_Data\fou_blanc\square_49.png,WB
Chess_Data\fou_blanc\square_50.png,WB
Chess_Data\fou_blanc\square_51.png,WB
Chess_Data\fou_blanc\square_52.png,WB
Chess_Data\fou_blanc\square_53.png,WB
Chess_Data\fou_blanc\square_54.png,WB
Chess_Data\fou_blanc\square_55.png,WB
Chess_Data\fou_blanc\square_56.png,WB
Chess_Data\fou_blanc\square_57.png,WB
Chess_Data\fou_blanc\square_58.png,WB
Chess_Data\fou_blanc\square_59.png,WB
Chess_Data\fou_blanc\square_60.png,WB
Chess_Data\fou_blanc\square_61.png,WB
Chess_Data\fou_blanc\square_62.png,WB
Chess_Data\fou_blanc\square_63.png,WB
Chess_Data\fou_noir\square_00.png,BB
Chess_Data\fou_noir\square_01.png,BB
Chess_Data\fou_noir\square_02.png,BB
Chess_Data\fou_noir\square_03.png,BB
Chess_Data\fou_noir\square_04.png,BB
Chess_Data\fou_noir\square_05.png,BB
Chess_Data\fou_noir\square_06.png,BB
Chess_Data\fou_noir\square_07.png,BB
Chess_Data\fou_noir\square_08.png,BB
Chess_Data\fou_noir\square_09.png,BB
Chess_Data\fou_noir\square_10.png,BB
Chess_Data\fou_noir\square_11.png,BB
Chess_Data\fou_noir\square_12.png,BB
Chess_Data\fou_noir\square_13.png,BB
Chess_Data\fou_noir\square_14.png,BB
Chess_Data\fou_noir\square_15.png,BB
Chess_Data\fou_noir\square_16.png,BB
Chess_Data\fou_noir\square_17.png,BB
Chess_Data\fou_noir\square_18.png,BB
Chess_Data\fou_noir\square_19.png,BB
Chess_Data\fou_noir\square_20.png,BB
Chess_Data\fou_noir\square_21.png,BB
Chess_Data\fou_noir\square_22.png,BB
Chess_Data\fou_noir\square_23.png,BB
Chess_Data\fou_noir\square_24.png,BB
Chess_Data\fou_noir\square_25.png,BB
Chess_Data\fou_noir\square_26.png,BB
Chess_Data\fou_noir\square_27.png,BB
Chess_Data\fou_noir\square_28.png,BB
Chess_Data\fou_noir\square_29.png,BB
Chess_Data\fou_noir\square_30.png,BB
Chess_Data\fou_noir\square_31.png,BB
Chess_Data\fou_noir\square_32.png,BB
Chess_Data\fou_noir\square_33.png,BB
Chess_Data\fou_noir\square_34.png,BB
Chess_Data\fou_noir\square_35.png,BB
Chess_Data\fou_noir\square_36.png,BB
Chess_Data\fou_noir\square_37.png,BB
Chess_Data\fou_noir\square_38.png,BB
Chess_Data\fou_noir\square_39.png,BB
Chess_Data\fou_noir\square_40.png,BB
Chess_Data\fou_noir\square_41.png,BB
Chess_Data\fou_noir\square_42.png,BB
Chess_Data\fou_noir\square_43.png,BB
Chess_Data\fou_noir\square_44.png,BB
Chess_Data\fou_noir\square_45.png,BB
Chess_Data\fou_noir\square_46.png,BB
Chess_Data\fou_noir\square_47.png,BB
Chess_Data\fou_noir\square_48.png,BB
Chess_Data\fou_noir\square_49.png,BB
Chess_Data\fou_noir\square_50.png,BB
Chess_Data\fou_noir\square_51.png,BB
Chess_Data\fou_noir\square_52.png,BB
Chess_Data\fou_noir\square_53.png,BB
Chess_Data\fou_noir\square_54.png,BB
Chess_Data\fou_noir\square_55.png,BB
Chess_Data\fou_noir\square_56.png,BB
Chess_Data\fou_noir\square_57.png,BB
Chess_Data\fou_noir\square_58.png,BB
Chess_Data\fou_noir\square_59.png,BB
Chess_Data\fou_noir\square_60.png,BB
Chess_Data\fou_noir\square_61.png,BB
Chess_Data\fou_noir\square_62.png,BB
Chess_Data\fou_noir\square_63.png,BB
Chess_Data\pion_blanc\square_00.png,WP
Chess_Data\pion_blanc\square_01.png,WP
Chess_Data\pion_blanc\square_02.png,WP
Chess_Data\pion_blanc\square_03.png,WP
Chess_Data\pion_blanc\square_04.png,WP
Chess_Data\pion_blanc\square_05.png,WP
Chess_Data\pion_blanc\square_06.png,WP
Chess_Data\pion_blanc\square_07.png,WP
Chess_Data\pion_blanc\square_08.png,WP
Chess_Data\pion_blanc\square_09.png,WP
Chess_Data\pion_blanc\square_10.png,WP
Chess_Data\pion_blanc\square_11.png,WP
Chess_Data\pion_blanc\square_12.png,WP
Chess_Data\pion_blanc\square_13.png,WP
Chess_Data\pion_blanc\square_14.png,WP
Chess_Data\pion_blanc\square_15.png,WP
Chess_Data\pion_blanc\square_16.png,WP
Chess_Data\pion_blanc\square_17.png,WP
Chess_Data\pion_blanc\square_18.png,WP
Chess_Data\pion_blanc\square_19.png,WP
Chess_Data\pion_blanc\square_20.png,WP
Chess_Data\pion_blanc\square_21.png,WP
Chess_Data\pion_blanc\square_22.png,WP
Chess_Data\pion_blanc\square_23.png,WP
Chess_Data\pion_blanc\square_24.png,WP
Chess_Data\pion_blanc\square_25.png,WP
Chess_Data\pion_blanc\square_26.png,WP
Chess_Data\pion_blanc\square_27.png,WP
Chess_Data\pion_blanc\square_28.png,WP
Chess_Data\pion_blanc\square_29.png,WP
Chess_Data\pion_blanc\square_30.png,WP
Chess_Data\pion_blanc\square_31.png,WP
Chess_Data\pion_blanc\square_32.png,WP
Chess_Data\pion_blanc\square_33.png,WP
Chess_Data\pion_blanc\square_34.png,WP
Chess_Data\pion_blanc\square_35.png,WP
Chess_Data\pion_blanc\square_36.png,WP
Chess_Data\pion_blanc\square_37.png,WP
Chess_Data\pion_blanc\square_38.png,WP
Chess_Data\pion_blanc\square_39.png,WP
Chess_Data\pion_blanc\square_40.png,WP
Chess_Data\pion_blanc\square_41.png,WP
Chess_Data\pion_blanc\square_42.png,WP
Chess_Data\pion_blanc\square_43.png,WP
Chess_Data\pion_blanc\square_44.png,WP
Chess_Data\pion_blanc\square_45.png,WP
Chess_Data\pion_blanc\square_46.png,WP
Chess_Data\pion_blanc\square_47.png,WP
Chess_Data\pion_blanc\square_48.png,WP
Chess_Data\pion_blanc\square_49.png,WP
Chess_Data\pion_blanc\square_50.png,WP
Chess_Data\pion_blanc\square_51.png,WP
Chess_Data\pion_blanc\square_52.png,WP
Chess_Data\pion_blanc\square_53.png,WP
Chess_Data\pion_blanc\square_54.png,WP
Chess_Data\pion_blanc\square_55.png,WP
Chess_Data\pion_blanc\square_56.png,WP
Chess_Data\pion_blanc\square_57.png,WP
Chess_Data\pion_blanc\square_58.png,WP
Chess_Data\pion_blanc\square_59.png,WP
Chess_Data\pion_blanc\square_60.png,WP
Chess_Data\pion_blanc\square_61.png,WP
Chess_Data\pion_blanc\square_62.png,WP
Chess_Data\pion_blanc\square_63.png,WP
Chess_Data\pion_noir\square_00.png,BP
Chess_Data\pion_noir\square_01.png,BP
Chess_Data\pion_noir\square_02.png,BP
Chess_Data\pion_noir\square_03.png,BP
Chess_Data\pion_noir\square_04.png,BP
Chess_Data\pion_noir\square_05.png,BP
Chess_Data\pion_noir\square_06.png,BP
Chess_Data\pion_noir\square_07.png,BP
Chess_Data\pion_noir\square_08.png,BP
Chess_Data\pion_noir\square_09.png,BP
Chess_Data\pion_noir\square_10.png,BP
Chess_Data\pion_noir\square_11.png,BP
Chess_Data\pion_noir\square_12.png,BP
Chess_Data\pion_noir\square_13.png,BP
Chess_Data\pion_noir\square_14.png,BP
Chess_Data\pion_noir\square_15.png,BP
Chess_Data\pion_noir\square_16.png,BP
Chess_Data\pion_noir\square_17.png,BP
Chess_Data\pion_noir\square_18.png,BP
Chess_Data\pion_noir\square_19.png,BP
Chess_Data\pion_noir\square_20.png,BP
Chess_Data\pion_noir\square_21.png,BP
Chess_Data\pion_noir\square_22.png,BP
Chess_Data\pion_noir\square_23.png,BP
Chess_Data\pion_noir\square_24.png,BP
Chess_Data\pion_noir\square_25.png,BP
Chess_Data\pion_noir\square_26.png,BP
Chess_Data\pion_noir\square_27.png,BP
Chess_Data\pion_noir\square_28.png,BP
Chess_Data\pion_noir\square_29.png,BP
Chess_Data\pion_noir\square_30.png,BP
Chess_Data\pion_noir\square_31.png,BP
Chess_Data\pion_noir\square_32.png,BP
Chess_Data\pion_noir\square_33.png,BP
Chess_Data\pion_noir\square_34.png,BP
Chess_Data\pion_noir\square_35.png,BP
Chess_Data\pion_noir\square_36.png,BP
Chess_Data\pion_noir\square_37.png,BP
Chess_Data\pion_noir\square_38.png,BP
Chess_Data\pion_noir\square_39.png,BP
Chess_Data\pion_noir\square_40.png,BP
Chess_Data\pion_noir\square_41.png,BP
Chess_Data\pion_noir\square_42.png,BP
Chess_Data\pion_noir\square_43.png,BP
Chess_Data\pion_noir\square_44.png,BP
Chess_Data\pion_noir\square_45.png,BP
Chess_Data\pion_noir\square_46.png,BP
Chess_Data\pion_noir\square_47.png,BP
Chess_Data\pion_noir\square_48.png,BP
Chess_Data\pion_noir\square_49.png,BP
Chess_Data\pion_noir\square_50.png,BP
Chess_Data\pion_noir\square_51.png,BP
Chess_Data\pion_noir\square_52.png,BP
Chess_Data\pion_noir\square_53.png,BP
Chess_Data\pion_noir\square_54.png,BP
Chess_Data\pion_noir\square_55.png,BP
Chess_Data\pion_noir\square_56.png,BP
Chess_Data\pion_noir\square_57.png,BP
Chess_Data\pion_noir\square_58.png,BP
Chess_Data\pion_noir\square_59.png,BP
Chess_Data\pion_noir\square_60.png,BP
Chess_Data\pion_noir\square_61.png,BP
Chess_Data\pion_noir\square_62.png,BP
Chess_Data\pion_noir\square_63.png,BP
Chess_Data\roi_blanc\square_00.png,WK
Chess_Data\roi_blanc\square_01.png,WK
Chess_Data\roi_blanc\square_02.png,WK
Chess_Data\roi_blanc\square_03.png,WK
Chess_Data\roi_blanc\square_04.png,WK
Chess_Data\roi_blanc\square_05.png,WK
Chess_Data\roi_blanc\square_06.png,WK
Chess_Data\roi_blanc\square_07.png,WK
Chess_Data\roi_blanc\square_08.png,WK
Chess_Data\roi_blanc\square_09.png,WK
Chess_Data\roi_blanc\square_10.png,WK
Chess_Data\roi_blanc\square_11.png,WK
Chess_Data\roi_blanc\square_12.png,WK
Chess_Data\roi_blanc\square_13.png,WK
Chess_Data\roi_blanc\square_14.png,WK
Chess_Data\roi_blanc\square_15.png,WK
Chess_Data\roi_blanc\square_16.png,WK
Chess_Data\roi_blanc\square_17.png,WK
Chess_Data\roi_blanc\square_18.png,WK
Chess_Data\roi_blanc\square_19.png,WK
Chess_Data\roi_blanc\square_20.png,WK
Chess_Data\roi_blanc\square_21.png,WK
Chess_Data\roi_blanc\square_22.png,WK
Chess_Data\roi_blanc\square_23.png,WK
Chess_Data\roi_blanc\square_24.png,WK
Chess_Data\roi_blanc\square_25.png,WK
Chess_Data\roi_blanc\square_26.png,WK
Chess_Data\roi_blanc\square_27.png,WK
Chess_Data\roi_blanc\square_28.png,WK
Chess_Data\roi_blanc\square_29.png,WK
Chess_Data\roi_blanc\square_30.png,WK
Chess_Data\roi_blanc\square_31.png,WK
Chess_Data\roi_blanc\square_32.png,WK
Chess_Data\roi_blanc\square_33.png,WK
Chess_Data\roi_blanc\square_34.png,WK
